koi_fwm_sdec,koi_fwm_sra,koi_teq,koi_prad
46.56673,18.996071,273,2.11
45.32307,19.412235,578,2.11
42.338611,19.1798667,1095,2.11
47.15771,19.9887298,619,2.12
45.29039,19.3982205,831,2.12
38.9457,19.713451,523,2.12
48.50578,19.047901,358,2.13
37.851719,19.3613963,764,2.13
41.388027,19.8059962,1034,2.14
40.637843,19.1931492,759,2.15
40.63795,19.19315,486,2.15
48.599884,19.6859092,516,2.15
43.039194,18.8090306,580,2.15
42.60417,19.28458,845,2.17
42.475393,19.6869626,272,2.17
42.43736,19.194421,1212,2.17
47.884285,19.2811631,267,2.17
39.278352,19.0719297,635,2.18
42.68159,19.0939968,596,2.18
40.66361,19.613466,365,2.19
40.43949,19.719025,715,2.19
48.2444,19.864121,1030,2.19
39.31589,19.5687162,1004,2.19
41.24494,19.367359,557,2.2
46.574481,19.8561624,449,2.2
49.064952,19.1168575,584,2.2
44.52907,19.425847,886,2.2
45.592876,19.1945371,747,2.2
49.96856,19.240678,246,2.2
48.825439,18.869304,566,2.21
44.80183,19.2298058,570,2.21
51.05769,19.374791,1300,2.21
39.978756,19.7408434,547,2.21
41.821924,18.891215,1253,2.21
41.82167,18.891217,735,2.21
47.966353,19.2080492,753,2.22
44.14183,19.306314,573,2.23
37.609123,19.4243194,678,2.23
44.38163,20.034497,467,2.23
40.43994,19.719033,833,2.23
40.591798,19.4862967,493,2.23
46.987416,19.6668524,623,2.23
41.761659,19.0231492,806,2.23
43.0832518,19.5002285,736,2.23
44.145812,19.6302427,805,2.24
46.74113,19.786894,561,2.24
47.810006,18.7127195,605,2.24
38.51433,19.498621,1021,2.25
48.82552,18.869298,436,2.26
47.762147,19.9109128,807,2.26
40.421545,18.8814104,688,2.27
40.524965,19.8046653,682,2.27
45.592895,19.1945229,580,2.27
39.978672,19.7408417,495,2.27
45.81644,19.210981,764,2.28
49.47937,19.614609,910,2.28
44.868871,19.5507297,746,2.28
41.99041,19.4257314,946,2.28
50.241447,19.0452809,521,2.28
40.284905,19.3595164,1150,2.29
46.574138,19.8561516,327,2.29
49.040131,19.4021586,1146,2.29
41.388071,19.8060021,1234,2.29
40.750346,19.4105693,712,2.3
44.79754,18.9784816,624,2.3
40.49606,19.883475,636,2.3
47.848646,19.0207428,903,2.3
45.261975,19.8474652,939,2.31
41.272812,19.5750857,397,2.31
42.166114,19.3353664,1112,2.31
46.72676,19.511867,631,2.32
49.975817,19.1158669,500,2.33
43.05613,19.651596,453,2.33
44.77056,19.607206,694,2.33
38.875645,19.4064657,762,2.33
44.03389,18.720093,284,2.33
38.34002,19.427319,783,2.34
44.33752,20.0576039,796,2.35
41.060881,19.5275356,562,2.35
41.24422,19.367316,479,2.35
38.05476,19.4650725,707,2.35
41.30548,18.87945,1295,2.35
41.82177,18.8912227,968,2.35
40.663447,19.6134743,614,2.36
38.34401,19.360875,748,2.36
49.41271,19.871178,644,2.36
42.663422,19.7655581,906,2.37
43.665597,18.8154896,459,2.37
40.78455,18.8652879,831,2.37
41.56303,19.2724098,784,2.37
44.54595,19.7052828,500,2.38
46.986805,19.2559668,380,2.38
46.43864,19.663272,812,2.38
51.05723,19.374761,927,2.38
48.881204,19.5440047,780,2.39
39.315921,19.568723,791,2.39
37.56756,19.497973,418,2.4
48.44342,19.395203,680,2.4
47.848667,19.0207556,521,2.4
48.375954,19.1332976,782,2.41
44.141923,19.3063065,773,2.41
41.24493,19.367383,760,2.41
47.8639,19.464761,516,2.41
41.82162,18.891261,549,2.41
41.884069,19.6431006,956,2.41
46.028202,19.0126818,702,2.42
43.074719,19.4634558,785,2.42
42.45982,19.8930543,735,2.43
43.47244,19.324135,544,2.43
46.00233,19.6217185,1104,2.43
46.835106,19.7769813,577,2.43
40.56258,19.364108,869,2.44
47.72978,19.543097,701,2.44
44.92129,18.816669,489,2.44
46.57724,19.766566,917,2.44
41.755597,19.7847966,1024,2.44
38.691006,19.3782057,459,2.44
49.25868,19.417108,692,2.44
46.498864,19.9157678,305,2.44
41.77617,19.347693,1007,2.45
39.706043,19.0279646,838,2.45
45.21362,19.6648902,600,2.45
39.706065,19.0279677,738,2.46
50.86365,19.33886,643,2.46
47.62985,19.185401,687,2.46
47.809876,18.7126908,746,2.46
42.194648,19.1594075,941,2.47
40.78435,18.8652787,1005,2.47
39.678061,19.0774756,1008,2.47
49.25894,19.417129,792,2.47
44.208466,19.2898163,479,2.47
45.139994,18.8767164,859,2.47
42.034078,19.0073652,842,2.48
42.779745,19.5882939,671,2.49
51.013399,19.6991077,941,2.49
48.881173,19.5439996,473,2.49
47.497245,18.7463114,828,2.49
43.16846,19.0292751,1301,2.49
40.284893,19.3595136,774,2.5
44.00877,19.416198,584,2.5
48.257065,18.830676,458,2.5
46.129129,19.5818714,764,2.5
44.16647,19.632291,990,2.51
42.782022,19.7999033,774,2.51
37.749295,19.3530895,579,2.51
37.749456,19.353096,853,2.51
38.05496,19.4650833,479,2.52
47.207921,18.7654987,549,2.52
46.835221,19.7769797,706,2.52
42.43638,19.442598,619,2.53
39.781468,18.9354863,500,2.53
43.074702,19.4634469,563,2.53
43.16842,19.0292754,1147,2.53
50.944259,19.1998575,624,2.54
39.226266,19.4371156,848,2.54
46.028221,19.0126796,593,2.54
42.966156,19.5248976,970,2.55
46.00233,19.6217073,1594,2.55
49.30527,18.962241,519,2.55
41.151183,19.2459122,1236,2.55
41.98898,19.124367,335,2.56
47.357588,19.3956111,637,2.56
46.762439,19.2492547,565,2.56
42.42413,19.717749,879,2.57
40.61607,19.2359231,600,2.57
44.337575,20.0575875,538,2.58
39.03605,19.571238,525,2.58
40.615985,19.2359187,803,2.58
49.598449,18.9826063,1306,2.58
44.089336,19.986444,910,2.58
44.797788,18.9784754,515,2.59
45.81643,19.210975,666,2.6
47.863996,19.464753,748,2.6
42.640752,19.4113066,719,2.6
40.948927,19.9426223,729,2.61
44.920919,18.8166565,727,2.61
38.638363,19.586976,593,2.62
39.226269,19.437114,1057,2.62
42.3386,19.1798672,397,2.62
38.691021,19.3782142,646,2.62
40.591769,19.4863019,429,2.63
39.08753,19.198391,650,2.63
39.03634,19.571211,793,2.64
46.32456,19.499969,643,2.64
39.48801,19.1092328,1193,2.64
40.86877,19.8046812,275,2.64
41.755626,19.7848148,731,2.64
43.853181,19.6445251,682,2.64
46.762569,19.2492691,1235,2.64
46.023258,19.8210675,1237,2.67
46.615156,19.2141397,879,2.68
